Date,Time,open,close,high,low,open_day,close_day,high_day,low_day,rsi_daily,volume_daily,ATR_daily,AvgATR_50,slowK,slowD
1191018,2300,85.52,84.95999999999999,87.04000000000001,84.12,85.52,84.95999999999999,87.04000000000001,84.12,39.77,8151940.00,2.92,5.60,4.48,4.48
1191021,2300,84.0,82.72,84.31999999999999,82.64,84.0,82.72,84.31999999999999,82.64,37.90,4683554.00,2.32,5.53,3.05,4.00
1191022,2300,82.31999999999999,84.04000000000001,84.12,81.68000000000001,82.31999999999999,84.04000000000001,84.12,81.68000000000001,39.70,5092311.00,2.44,5.41,4.60,4.04
1191023,2300,84.59999999999999,83.0,84.68000000000001,82.94,84.59999999999999,83.0,84.68000000000001,82.94,38.75,4443581.00,1.74,5.23,4.96,4.20
1191024,2300,82.28,81.84,83.8,81.68000000000001,82.28,81.84,83.8,81.68000000000001,37.66,6305773.00,2.12,4.97,5.22,4.92
1191025,2300,82.28,79.16,82.40000000000001,79.12,82.28,79.16,82.40000000000001,79.12,35.21,6531709.00,3.28,4.91,2.09,4.09
1191028,2300,78.84,79.92,80.2,78.59999999999999,78.84,79.92,80.2,78.59999999999999,36.47,6659731.00,1.60,4.81,2.05,3.12
1191029,2300,80.68000000000001,79.84,81.08,79.34,80.68000000000001,79.84,81.08,79.34,36.39,5843873.00,1.74,4.67,3.53,2.56
1191030,2300,79.88,77.88,81.81999999999999,77.73999999999999,79.88,77.88,81.81999999999999,77.73999999999999,34.39,9732202.00,4.08,4.68,4.14,3.24
1191031,2300,78.72,79.0,80.8,78.16,78.72,79.0,80.8,78.16,36.54,7604565.00,2.92,4.64,4.78,4.15
1191101,2300,76.64,75.48,77.08,75.36,76.64,75.48,77.08,75.36,32.89,8127551.00,3.64,4.60,3.42,4.11
1191104,2300,74.44,75.59999999999999,76.23999999999999,74.18000000000001,74.44,75.59999999999999,76.23999999999999,74.18000000000001,33.14,5798465.00,2.06,4.32,6.95,5.05
1191105,2300,76.0,77.16,77.31999999999999,75.8,76.0,77.16,77.31999999999999,75.8,36.39,5722899.00,1.72,4.23,11.76,7.38
1191106,2300,77.04000000000001,76.88,78.43000000000001,76.64,77.04000000000001,76.88,78.43000000000001,76.64,36.05,7164939.00,1.79,4.12,18.18,12.30
1191107,2300,75.31999999999999,76.16,76.76000000000001,75.2,75.31999999999999,76.16,76.76000000000001,75.2,35.14,7872875.00,1.68,4.01,21.15,17.03
1191108,2300,76.36,74.56,77.12,74.5,76.36,74.56,77.12,74.5,33.15,6916446.00,2.62,3.95,14.94,18.09
