Date,Time,enter
1191018,2300,0
1191021,2300,0
1191022,2300,0
1191023,2300,0
1191024,2300,0
1191025,2300,0
1191028,2300,0
1191029,2300,0
1191030,2300,0
1191031,2300,0
1191101,2300,0
1191104,2300,0
1191105,2300,0
1191106,2300,0
1191107,2300,0
1191108,2300,0
1191111,2300,0
1191112,2300,0
1191113,2300,0
1191114,2300,0
1191115,2300,0
1191118,2300,0
1191119,2300,0
1191120,2300,0
1191121,2300,0
1191122,2300,0
1191125,2300,0
1191126,2300,0
1191127,2300,0
1191129,2300,0
1191202,2300,0
1191203,2300,0
1191204,2300,0
1191205,2300,0
1191206,2300,0
1191209,2300,0
1191210,2300,0
1191211,2300,0
1191212,2300,0
1191213,2300,0
1191216,2300,0
1191217,2300,0
1191218,2300,0
1191219,2300,0
1191220,2300,0
1191223,2300,0
1191224,2300,0
1191226,2300,0
1191227,2300,0
1191230,2300,0
1191231,2300,0
1200102,2300,0
1200103,2300,0
1200106,2300,0
1200107,2300,0
1200108,2300,0
1200109,2300,0
1200110,2300,0
1200113,2300,0
1200114,2300,0
1200115,2300,0
1200116,2300,0
1200117,2300,0
1200121,2300,0
1200122,2300,0
1200123,2300,0
1200124,2300,0
1200127,2300,0
1200128,2300,0
1200129,2300,0
1200130,2300,0
1200131,2300,0
1200203,2300,0
1200204,2300,0
1200205,2300,0
1200206,2300,0
1200207,2300,0
1200210,2300,0
1200211,2300,0
1200212,2300,0
1200213,2300,0
1200214,2300,0
1200218,2300,0
1200219,2300,0
1200220,2300,0
1200221,2300,0
1200224,2300,0
1200225,2300,0
1200226,2300,0
1200227,2300,0
1200228,2300,0
1200302,2300,0
1200303,2300,0
1200304,2300,0
1200305,2300,0
1200306,2300,0
1200309,2300,0
1200310,2300,0
1200311,2300,0
1200312,2300,0
1200313,2300,0
1200316,2300,0
1200317,2300,0
1200318,2300,0
1200319,2300,0
1200320,2300,0
1200323,2300,0
1200324,2300,0
1200325,2300,0
1200326,2300,0
1200327,2300,0
1200330,2300,0
1200331,2300,0
1200401,2300,0
1200402,2300,0
1200403,2300,0
1200406,2300,0
1200407,2300,0
1200408,2300,0
1200409,2300,0
1200413,2300,0
1200414,2300,0
1200415,2300,0
1200416,2300,0
1200417,2300,0
1200420,2300,0
1200421,2300,0
1200422,2300,0
1200423,2300,0
1200424,2300,0
1200427,2300,0
1200428,2300,0
1200429,2300,0
1200430,2300,0
1200501,2300,0
1200504,2300,0
1200505,2300,0
1200506,2300,0
1200507,2300,0
1200508,2300,0
1200511,2300,0
1200512,2300,0
1200513,2300,0
1200514,2300,0
1200515,2300,0
1200518,2300,0
1200519,2300,0
1200520,2300,0
1200521,2300,0
1200522,2300,0
1200526,2300,0
1200527,2300,0
1200528,2300,0
1200529,2300,0
1200601,2300,0
1200602,2300,0
1200603,2300,0
1200604,2300,0
1200605,2300,0
1200608,2300,0
1200609,2300,0
1200610,2300,0
1200611,2300,0
1200612,2300,0
1200615,2300,0
1200616,2300,0
1200617,2300,0
1200618,2300,0
1200619,2300,0
1200622,2300,0
1200623,2300,0
1200624,2300,0
1200625,2300,0
1200626,2300,0
1200629,2300,0
1200630,2300,0
1200701,2300,0
1200702,2300,0
1200706,2300,0
1200707,2300,0
1200708,2300,0
1200709,2300,0
1200710,2300,0
1200713,2300,0
1200714,2300,0
1200715,2300,0
